lat,lon
-22.875, -52.625
-22.875, -52.375
-22.875, -52.125
-22.875, -51.875
-22.875, -51.625
-22.875, -51.375
-22.875, -51.125
-22.875, -50.875
-22.875, -50.625
-22.875, -50.375
-22.875, -50.125
-22.875, -49.875
-22.875, -49.625
-22.875, -49.375
-22.875, -49.125
-22.875, -48.875
-22.875, -48.625
-22.875, -48.375
-22.875, -48.125
-22.875, -47.875
-22.875, -47.625
-22.875, -47.375
-22.875, -47.125
-22.875, -46.875
-22.875, -46.625
-22.875, -46.375
-22.875, -46.125
-22.875, -45.875
-22.875, -45.625
-22.875, -45.375
-22.875, -45.125
-22.875, -44.875
-22.875, -44.625
-22.875, -44.375
-22.875, -44.125
-22.875, -43.875
-22.875, -43.625
-22.875, -43.375
-22.875, -43.125
-22.875, -42.875
-22.875, -42.625
-22.875, -42.375
-22.875, -42.125
-22.625, -58.625
-22.625, -58.375
-22.625, -58.125
-22.625, -55.375
-22.625, -55.125
-22.625, -54.875
-22.625, -54.625
-22.625, -54.375
-22.625, -54.125
-22.625, -53.875
-22.625, -53.625
-22.625, -53.375
-22.625, -53.125
-22.625, -52.875
-22.625, -52.625
-22.625, -52.375
-22.625, -52.125
-22.625, -51.875
-22.625, -51.625
-22.625, -51.375
-22.625, -51.125
-22.625, -50.875
-22.625, -50.625
-22.625, -50.375
-22.625, -50.125
-22.625, -49.875
-22.625, -49.625
-22.625, -49.375
-22.625, -49.125
-22.625, -48.875
-22.625, -48.625
-22.625, -48.375
-22.625, -48.125
-22.625, -47.875
-22.625, -47.625
-22.625, -47.375
-22.625, -47.125
-22.625, -46.875
-22.625, -46.625
-22.625, -46.375
-22.625, -46.125
-22.625, -45.875
-22.625, -45.625
-22.625, -45.375
-22.625, -45.125
-22.625, -44.875
-22.625, -44.625
-22.625, -44.375
-22.625, -44.125
-22.625, -43.875
-22.625, -43.625
-22.625, -43.375
-22.625, -43.125
-22.625, -42.875
-22.625, -42.625
-22.625, -42.375
-22.625, -42.125
-22.375, -58.625
-22.375, -58.375
-22.375, -58.125
-22.375, -57.875
-22.375, -57.625
-22.375, -57.375
-22.375, -55.875
-22.375, -55.625
-22.375, -55.375
